id,type,name,name_en,operator,status,hours,phone,lat,lng,address,area,sub_area,official_url,last_verified,note,open_early,open_late,is_24h,atm_intl,baby_goods,tax_free,takkyubin
poi-040,conbini,セブンイレブン 浦安富士見2丁目店,7-Eleven Urayasu Fujimi 2-chome,セブンイレブン,open,24時間営業,047-390-5240,35.653736,139.890274,千葉県浦安市富士見2丁目3-3,リバーサイド,元町,https://www.sej.co.jp/shop/,2026/6/29,,1,1,1,1,,,1
poi-041,conbini,セブンイレブン 浦安猫実2丁目店,7-Eleven Urayasu Nekomi 2-chome,セブンイレブン,open,24時間営業,047-380-1804,35.660984,139.900696,千葉県浦安市猫実2丁目14-22,リバーサイド,浦安駅,https://www.sej.co.jp/shop/,2026/6/29,,1,1,1,1,,,1
poi-042,conbini,セブンイレブン 浦安富士見5丁目店,7-Eleven Urayasu Fujimi 5-chome,セブンイレブン,open,24時間営業,047-355-0448,35.645535,139.887939,千葉県浦安市富士見5丁目2-28,リバーサイド,元町,https://www.sej.co.jp/shop/,2026/6/29,,1,1,1,1,,,1
poi-044,conbini,セブンイレブン 浦安駅南口店,7-Eleven Urayasu Station South Exit,セブンイレブン,open,24時間営業,047-355-3600,35.665382,139.893219,千葉県浦安市北栄1丁目16-17,リバーサイド,浦安駅,https://www.sej.co.jp/shop/,2026/6/29,,1,1,1,1,,,1
poi-045,conbini,セブンイレブン 浦安富士見店,7-Eleven Urayasu Fujimi,セブンイレブン,open,24時間営業,047-354-3956,35.648228,139.8927,千葉県浦安市富士見1丁目17-6,リバーサイド,元町,https://www.sej.co.jp/shop/,2026/6/29,,1,1,1,1,,,1
poi-046,conbini,ファミリーマート 浦安堀江三丁目店,FamilyMart Urayasu Horie 3-chome,ファミリーマート,open,24時間,047-316-3015,35.656773,139.891907,千葉県浦安市堀江3-27-15,リバーサイド,元町,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-047,conbini,ファミリーマート 浦安駅前店,FamilyMart Urayasu Ekimae,ファミリーマート,open,24時間,047-390-7736,35.665722,139.892502,千葉県浦安市当代島1-1-25 板徳ビル1F,リバーサイド,浦安駅,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-048,conbini,ファミリーマート 浦安駅東口店,FamilyMart Urayasu Station East Exit,ファミリーマート,open,24時間,047-305-6382,35.666237,139.893677,千葉県浦安市北栄1丁目13番17号,リバーサイド,浦安駅,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-049,conbini,ファミリーマート ヤックスドラッグ浦安東野店,FamilyMart Yac's Drug Urayasu Higashino,ファミリーマート,open,24時間,047-390-7135,35.647144,139.893661,千葉県浦安市東野3丁目4番11号,ベイサイド,新浦安,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-050,conbini,ファミリーマート 東京ベイ・浦安市川医療センター店,FamilyMart Tokyo Bay Urayasu-Ichikawa Medical Center,ファミリーマート,open,7:00-20:00,047-323-6651,35.671627,139.893219,千葉県浦安市当代島3丁目4-32,リバーサイド,浦安駅,https://store.family.co.jp/,2026/6/29,,1,,,check,,,1
poi-051,conbini,ファミリーマート 浦安富士見一丁目店,FamilyMart Urayasu Fujimi 1-chome,ファミリーマート,open,24時間,047-700-7005,35.65118,139.894516,千葉県浦安市富士見1丁目5番1号,リバーサイド,元町,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-052,conbini,ファミリーマート ニーズ浦安店,FamilyMart Needs Urayasu,ファミリーマート,open,24時間,047-305-6230,35.667351,139.895844,千葉県浦安市北栄2丁目4番11号,リバーサイド,浦安駅,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-053,conbini,ファミリーマート 浦安東野一丁目店,FamilyMart Urayasu Higashino 1-chome,ファミリーマート,open,24時間,047-306-2721,35.652927,139.898788,千葉県浦安市東野1-3-1,ベイサイド,新浦安,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-054,conbini,ファミリーマート 浦安若潮通り店,FamilyMart Urayasu Wakashio-dori,ファミリーマート,open,24時間,047-316-6512,35.637115,139.898392,千葉県浦安市鉄鋼通り2-1-8,リゾート,千鳥,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-055,conbini,ファミリーマート 浦安北栄店,FamilyMart Urayasu Kitasakae,ファミリーマート,open,24時間,047-305-7130,35.664665,139.90271,千葉県浦安市北栄4-28-11,リバーサイド,浦安駅,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-056,conbini,ファミリーマート 浦安海楽店,FamilyMart Urayasu Kairaku,ファミリーマート,open,24時間,047-304-6030,35.653763,139.902878,千葉県浦安市海楽1-1-7,リバーサイド,元町,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-057,conbini,ファミリーマート 浦安北栄四丁目店,FamilyMart Urayasu Kitasakae 4-chome,ファミリーマート,open,24時間,047-316-8731,35.661415,139.9039,千葉県浦安市北栄4-17-47,リバーサイド,浦安駅,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-058,conbini,ファミリーマート アトレ新浦安店,FamilyMart atre Shin-Urayasu,ファミリーマート,open,24時間,047-305-4877,35.64994,139.91272,千葉県浦安市入船1丁目1番の1 1階6070,ベイサイド,新浦安,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-059,conbini,ファミリーマート 新浦安マーレ店,FamilyMart Shin-Urayasu Mare,ファミリーマート,open,24時間,047-712-6957,35.650169,139.913925,千葉県浦安市入船1丁目2番1号,ベイサイド,新浦安,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-060,conbini,ファミリーマート 浦安入船六丁目店,FamilyMart Urayasu Irifune 6-chome,ファミリーマート,open,24時間,047-314-1550,35.651169,139.915375,千葉県浦安市入船6丁目1番2号,ベイサイド,新浦安,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-061,conbini,ファミリーマート 浦安マリーナ店,FamilyMart Urayasu Marina,ファミリーマート,open,24時間,047-355-6789,35.646507,139.920258,千葉県浦安市日の出1-3-1,ベイサイド,新町,https://store.family.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-063,conbini,ファミリーマート エミオン東京ベイ／S店,FamilyMart Emion Tokyo Bay S,ファミリーマート,open,7:00-24:00,047-323-6334,35.647377,139.919174,千葉県浦安市日の出1丁目1-1,ベイサイド,新町,https://store.family.co.jp/,2026/6/29,エミオン東京ベイ サテライト店（emion-familymartの別店舗）,1,1,,check,,,1
poi-064,conbini,ミニストップ 堀江4丁目店,Ministop Horie 4-chome,ミニストップ,open,24時間営業,047-353-1711,35.659546,139.890915,千葉県浦安市堀江4丁目36-50,リバーサイド,元町,https://www.ministop.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-065,conbini,ミニストップ 浦安猫実2丁目店,Ministop Urayasu Nekomi 2-chome,ミニストップ,open,24時間営業,047-381-0201,35.659344,139.902145,千葉県浦安市猫実2丁目11-20,リバーサイド,浦安駅,https://www.ministop.co.jp/,2026/6/29,,1,1,1,check,,,1
poi-067,conbini,デイリーヤマザキ 浦安舞浜店,Daily Yamazaki Urayasu Maihama,デイリーヤマザキ,open,24時間営業,047-350-5900,35.647606,139.888824,千葉県浦安市富士見3-11-1,リバーサイド,元町,https://www.daily-yamazaki.jp/,2026/6/29,,1,1,1,,,,1
poi-068,conbini,NewDays 新浦安,NewDays Shin-Urayasu,NewDays,open,6:30～23:30,047-304-5377,35.64994,139.91272,千葉県浦安市入船1-1 新浦安駅2F 改札外,ベイサイド,新浦安,https://www.j-retail.jp/,2026/6/29,,1,1,,,,,
poi-069,conbini,NewDaysミニ 新浦安4号,NewDays Mini Shin-Urayasu No.4,NewDays,open,平日 6:30～21:00／土曜 6:30～20:00／日祝 7:00～14:00,047-380-0481,35.64994,139.91272,千葉県浦安市入船1-1 新浦安駅2F 改札内コンコース,ベイサイド,新浦安,https://www.j-retail.jp/,2026/6/29,,1,,,,,,
poi-071,conbini,NewDaysミニ 舞浜3号,NewDays Mini Maihama No.3,NewDays,open,平日・土曜 7:00～23:00／日祝 7:00～22:30,047-700-9638,35.636112,139.884384,千葉県浦安市舞浜26-5 舞浜駅2F 改札内,リゾート,舞浜,https://www.j-retail.jp/,2026/6/29,,1,1,,,,,
poi-072,conbini,ファーストセレクト,First Select (Tokyo Bay Maihama Hotel),その他,open,8:00～23:00,047-355-1406,35.630993,139.872862,千葉県浦安市舞浜1-34 東京ベイ舞浜ホテル内,リゾート,舞浜,,2026/6/29,東京ベイ舞浜ホテル ファーストリゾート 館内売店,,1,,,,,
poi-073,supermarket,イオンスタイル新浦安,AEON Style Shin-Urayasu,イオン,open,8:00～23:00,047-350-1147,35.649055,139.914963,千葉県浦安市入船1-4-1,ベイサイド,新浦安,https://www.aeon.jp/,2026/6/29,,,1,,1,1,,
poi-074,supermarket,イオンスタイル新浦安MONA,AEON Style Shin-Urayasu MONA,イオン,open,9:00～22:00,047-390-7811,35.648975,139.913177,千葉県浦安市入船1-5-1,ベイサイド,新浦安,https://www.aeon.jp/,2026/6/29,,,1,,check,1,,
poi-075,supermarket,ダイエー浦安駅前店,Daiei Urayasu Ekimae,ダイエー,open,8:00～24:00,047-355-4147,35.663998,139.896484,千葉県浦安市北栄3-27-13,リバーサイド,浦安駅,https://www.daiei.co.jp/,2026/6/29,,,1,,check,1,,
poi-076,supermarket,サミットストア 浦安駅北口店,Summit Store Urayasu Station North Exit,サミット,open,9:00～24:00,047-306-3310,35.667419,139.893417,千葉県浦安市北栄1-10-20,リバーサイド,浦安駅,https://www.summitstore.co.jp/,2026/6/29,,,1,,,1,,
poi-077,supermarket,サミットストア ライフガーデン浦安富岡店,Summit Store Life Garden Urayasu Tomioka,サミット,open,9:00～23:00,047-306-3330,35.643097,139.900177,千葉県浦安市富岡3-2-2,ベイサイド,新浦安,https://www.summitstore.co.jp/,2026/6/29,,,1,,,1,,
poi-078,supermarket,ヤオコー 浦安東野店,Yaoko Urayasu Higashino,ヤオコー,open,9:00～21:45,047-306-4811,35.647724,139.893478,千葉県浦安市東野2-29-33,ベイサイド,新浦安,https://www.yaoko-net.com/,2026/6/29,,,,,,1,,
poi-079,supermarket,ヤオコー 新浦安店,Yaoko Shin-Urayasu,ヤオコー,open,9:00～21:30,047-381-8011,35.643726,139.922821,千葉県浦安市明海4-1-1 NEW COAST SHIN-URAYASU内,ベイサイド,新町,https://www.yaoko-net.com/,2026/6/29,,,,,,1,,
poi-080,supermarket,オーケー 浦安店,OK Store Urayasu,オーケー,open,8:30～21:30,047-355-0141,35.652882,139.899323,千葉県浦安市東野1-2-33,ベイサイド,新浦安,https://ok-corporation.jp/shop/,2026/6/29,,,,,,1,,
poi-081,supermarket,オーケー 新浦安店,OK Store Shin-Urayasu,オーケー,open,8:45～21:30,047-316-5391,35.636314,139.917923,千葉県浦安市高洲5-3-1,ベイサイド,新町,https://ok-corporation.jp/shop/,2026/6/29,,,,,,1,,
poi-082,supermarket,マルエツ 浦安店,Maruetsu Urayasu,マルエツ,open,24時間営業 ※2Fは10:00～22:00,047-355-2421,35.652317,139.891922,千葉県浦安市富士見1-3-20,リバーサイド,元町,https://www.maruetsu.co.jp/,2026/6/29,,1,1,1,,1,,
poi-083,supermarket,ベルク フォルテ新浦安店,Belc Forte Shin-Urayasu,ベルク,open,9:00～24:00,047-381-8900,35.642681,139.925476,千葉県浦安市日の出5-1-28,ベイサイド,新町,https://www.belc.jp/,2026/6/29,,,1,,,1,,
poi-084,supermarket,アール元気 アクロスプラザ浦安東野店,R Genki Across Plaza Urayasu Higashino,アール元気,open,10:00～20:00,0120-972-129,35.647778,139.892868,千葉県浦安市東野3-4-1 アクロスプラザ浦安東野1F,ベイサイド,新浦安,https://www.welcia.co.jp/,2026/6/29,,,,,,1,,
poi-085,supermarket,業務スーパー 新浦安店,Gyomu Super Shin-Urayasu,業務スーパー,open,9:00～21:00,047-305-4433,35.658936,139.90387,千葉県浦安市猫実1-21-38,リバーサイド,浦安駅,https://www.gyomusuper.jp/,2026/6/29,,,,,,1,,
poi-086,supermarket,ワイズマート 浦安本店,Y's Mart Urayasu Main Store,ワイズマート,open,24時間営業,047-352-0115,35.666306,139.892731,千葉県浦安市当代島1-2-25,リバーサイド,浦安駅,https://www.ysmart.co.jp/,2026/6/29,,1,1,1,,1,,
poi-087,supermarket,ワイズマートディスカ 高洲店,Y's Mart Disca Takasu,ワイズマート,open,月～土 10:00～20:00／日 9:00～20:00,047-382-2851,35.637661,139.911209,千葉県浦安市高洲2-3-12,ベイサイド,新町,https://www.ysmart.co.jp/,2026/6/29,,,,,,1,,
poi-088,supermarket,まいばすけっと 浦安駅前店,My Basket Urayasu Ekimae,まいばすけっと,open,7:00～24:00,047-325-9162,35.665184,139.894485,千葉県浦安市北栄1-16-30,リバーサイド,浦安駅,https://www.mybasket.co.jp/shop/,2026/6/29,,1,1,,,1,,
